tick_id,tick_start_ts,tick_end_ts,tick_latency_s,zones_total,zones_completed,zones_fallback,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,late_reports,duplicate_reports
0,1780730296.6807702,1780730297.3783529,0.6975827217102051,10,7,3,2.4462850498301643e-06,3.374996595084667e-06,1.379641589731736,0,0
1,1780730297.384115,1780730297.498086,0.11397099494934082,10,7,3,2.2381427697837353e-06,2.5830231606960297e-06,1.1540922212686275,0,0
2,1780730297.503385,1780730297.544629,0.0412440299987793,10,7,3,1.987995347008109e-06,2.4999899324029684e-06,1.2575431507751769,0,0
3,1780730297.550525,1780730298.108711,0.5581860542297363,10,7,3,2.017860034746783e-06,2.708024112507701e-06,1.3420277253508939,2,0
4,1780730298.11472,1780730298.6326258,0.5179057121276855,10,7,3,2.4405723836805137e-06,2.91600008495152e-06,1.1948017212888542,4,0
5,1780730298.6375418,1780730298.7462149,0.108673095703125,10,7,3,2.113141817972064e-06,2.6669877115637064e-06,1.2620959411626977,3,0
6,1780730298.751924,1780730298.8034172,0.051493167877197266,10,7,3,2.041575498878956e-06,2.2920139599591494e-06,1.122669213662542,3,0
7,1780730298.808799,1780730299.3680482,0.5592491626739502,10,7,3,2.2737201236720594e-06,3.2920215744525194e-06,1.4478569900396987,2,0
8,1780730299.373812,1780730299.884955,0.5111429691314697,10,7,3,2.5832850951701403e-06,3.208988346159458e-06,1.242212232850013,4,0
9,1780730299.8919308,1780730299.9991481,0.10721731185913086,10,7,3,2.0712863520852158e-06,2.4589826352894306e-06,1.1871765740231481,3,0
10,1780730300.005802,1780730300.0554008,0.04959893226623535,10,7,3,2.0058567835284132e-06,2.4580222088843584e-06,1.2254225870306459,3,0
11,1780730300.061395,1780730300.671051,0.6096560955047607,10,7,3,1.7202816837068115e-06,1.8750142771750689e-06,1.0899460797227372,2,0
12,1780730300.677184,1780730301.1449542,0.4677700996398926,10,7,3,2.779856523764985e-06,3.875000402331352e-06,1.3939569791476596,4,0
13,1780730301.152353,1780730301.249249,0.09689593315124512,10,7,3,2.220289648643562e-06,3.3329997677356005e-06,1.5011553874386725,3,0
14,1780730301.25515,1780730301.304368,0.049217939376831055,10,7,3,1.8155634669320925e-06,2.416985807940364e-06,1.331259331861609,3,0
15,1780730301.309908,1780730301.920326,0.6104180812835693,10,7,3,1.7977228188621147e-06,2.4580222088843584e-06,1.367297662962406,2,0
16,1780730301.926479,1780730302.404438,0.47795891761779785,10,7,3,2.8035678302070925e-06,3.1669915188103914e-06,1.1296289979816374,4,0
17,1780730302.411909,1780730302.5043368,0.09242773056030273,10,7,3,2.244000955085669e-06,3.208027919754386e-06,1.429601851320029,3,0
18,1780730302.510674,1780730302.55751,0.046835899353027344,10,7,3,1.91070804638522e-06,2.4590117391198874e-06,1.2869636173731396,3,0
19,1780730302.563259,1780730303.1708438,0.6075849533081055,10,7,3,1.7202858413968767e-06,1.9589788280427456e-06,1.1387519334880123,2,0
