tick_id,tick_start_ts,tick_end_ts,tick_latency_s,zones_total,zones_completed,zones_fallback,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,late_reports,duplicate_reports
0,1780730180.063367,1780730181.997109,1.9337420463562012,10,10,0,0.3602732124069007,1.2011119580129161,3.333891937145616,0,0
1,1780730181.997706,1780730183.2336261,1.2359201908111572,10,10,0,0.360213437397033,1.2010479159944225,3.3342673851186966,0,0
2,1780730183.233802,1780730184.472526,1.2387239933013916,10,10,0,0.360217258305056,1.2008383749925997,3.333650310490259,0,0
3,1780730184.4728022,1780730185.721431,1.248628854751587,10,10,0,0.36020587920211256,1.2010582920047455,3.334366153781816,0,0
4,1780730185.72159,1780730186.970091,1.2485010623931885,10,10,0,0.3601976330974139,1.2010319999826606,3.3343694950317637,0,0
5,1780730186.970297,1780730188.218292,1.2479948997497559,10,10,0,0.3601683543005493,1.2008241669973359,3.3340635085204777,0,0
6,1780730188.218536,1780730189.4681332,1.2495973110198975,10,10,0,0.36016646679490805,1.200853833986912,3.334163351389184,0,0
7,1780730189.4682891,1780730190.718314,1.2500247955322266,10,10,0,0.3602340875950176,1.2010622919769958,3.334116157622635,0,0
8,1780730190.7185001,1780730191.966663,1.2481627464294434,10,10,0,0.36022150829376187,1.2010489579988644,3.3341955722960464,0,0
9,1780730191.966848,1780730193.218095,1.2512471675872803,10,10,0,0.36021857089654075,1.2010419580037706,3.334203328314033,0,0
10,1780730193.218305,1780730194.466282,1.2479767799377441,10,10,0,0.3601869709964376,1.201077959005488,3.3345957952970133,0,0
11,1780730194.4664562,1780730195.7155478,1.249091625213623,10,10,0,0.36013092489447446,1.200601499993354,3.3337917323960844,0,0
12,1780730195.715722,1780730196.9645061,1.248784065246582,10,10,0,0.3602459832996828,1.2010667079885025,3.3340183198915905,0,0
13,1780730196.964684,1780730198.214358,1.2496740818023682,10,10,0,0.3601329499972053,1.2009272080031224,3.3346773962572485,0,0
14,1780730198.214536,1780730199.46384,1.2493040561676025,10,10,0,0.3602172666025581,1.2010689160088077,3.3342902391572316,0,0
15,1780730199.464023,1780730200.71214,1.2481169700622559,10,10,0,0.3602665999060264,1.2010414999967907,3.333757557070447,0,0
16,1780730200.712352,1780730201.959219,1.2468669414520264,10,10,0,0.36023194570152556,1.2009962080046535,3.33395253345952,0,0
17,1780730201.959393,1780730203.208797,1.249403953552246,10,10,0,0.36028439170622734,1.2010486669896636,3.333612819866446,0,0
18,1780730203.208996,1780730204.455758,1.2467620372772217,10,10,0,0.36019049999595154,1.2010472499823663,3.334477866561905,0,0
19,1780730204.45594,1780730205.706264,1.250324010848999,10,10,0,0.3601559875998646,1.201055583980633,3.334820537025231,0,0
