tick_id,tick_start_ts,tick_end_ts,tick_latency_s,zones_total,zones_completed,zones_fallback,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,late_reports,duplicate_reports
0,1780730341.020233,1780730341.752583,0.7323501110076904,10,7,3,2.3510032666048834e-06,2.875021891668439e-06,1.2228914916908211,0,7
1,1780730341.763127,1780730341.888614,0.1254868507385254,10,7,3,2.4761372644986423e-06,3.082997864112258e-06,1.245083585758518,0,7
2,1780730341.894155,1780730341.9444292,0.05027413368225098,10,7,3,1.976004568859935e-06,2.582994056865573e-06,1.3071802047278887,0,7
3,1780730341.950099,1780730342.474205,0.5241060256958008,10,7,3,2.1728462473090204e-06,2.4579931050539017e-06,1.1312319535254847,4,7
4,1780730342.479179,1780730343.020242,0.5410630702972412,10,7,3,2.7322883917284865e-06,3.2919924706220627e-06,1.2048480975097577,8,7
5,1780730343.025991,1780730343.149072,0.12308096885681152,10,7,3,2.2319977038672993e-06,2.5830231606960297e-06,1.1572696316938507,6,7
6,1780730343.155395,1780730343.21157,0.05617499351501465,10,7,3,2.201999970046537e-06,2.6659981813281775e-06,1.2107167200696347,6,7
7,1780730343.2173572,1780730343.737097,0.5197398662567139,10,7,3,2.2501335479319096e-06,2.583983587101102e-06,1.148368988798924,4,7
8,1780730343.743274,1780730344.280633,0.5373589992523193,10,7,3,2.17870859030102e-06,2.541986759752035e-06,1.1667401372850985,8,7
9,1780730344.286565,1780730344.407069,0.12050390243530273,10,7,3,2.1368531244141716e-06,2.707995008677244e-06,1.2672817695037668,6,7
10,1780730344.4130518,1780730344.476287,0.06323504447937012,10,7,3,2.059428620019129e-06,2.707995008677244e-06,1.3149254032665094,6,7
11,1780730344.481654,1780730345.045861,0.5642070770263672,10,7,3,1.988145023850458e-06,2.209009835496545e-06,1.1110908957830128,4,7
12,1780730345.051405,1780730345.537718,0.4863131046295166,10,7,3,1.785574048491461e-06,2.1669839043170214e-06,1.213606294372274,8,7
13,1780730345.543942,1780730345.670302,0.1263599395751953,10,7,3,2.1071381135178465e-06,2.4579931050539017e-06,1.166507828454731,6,7
14,1780730345.676008,1780730345.7385979,0.06258988380432129,10,7,3,1.958434170644198e-06,2.2919848561286926e-06,1.1703149845341894,6,7
15,1780730345.744083,1780730346.306664,0.5625810623168945,10,7,3,1.9108577232275692e-06,2.2919848561286926e-06,1.1994534330150828,4,7
16,1780730346.31199,1780730346.800048,0.48805809020996094,10,7,3,2.071573232699718e-06,2.334010787308216e-06,1.1266851446359365,8,7
17,1780730346.806297,1780730346.933024,0.12672686576843262,10,7,3,2.214281786499279e-06,2.749991836026311e-06,1.2419339999061165,6,7
18,1780730346.9388852,1780730347.0023098,0.06342458724975586,10,7,3,1.9108618809176344e-06,2.2500171326100826e-06,1.1774881037082487,6,7
19,1780730347.007798,1780730347.565748,0.5579500198364258,10,7,3,1.7975689843297005e-06,2.00001522898674e-06,1.112622239492261,4,7
