tick_id,tick_start_ts,tick_end_ts,tick_latency_s,zones_total,zones_completed,zones_fallback,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,late_reports,duplicate_reports
0,1780730391.908875,1780730393.5431528,1.6342778205871582,10,5,5,2.391805173829198e-06,2.6250199880450964e-06,1.0975057737844631,0,0
1,1780730393.55132,1780730395.085536,1.5342159271240234,10,5,5,2.5084009394049644e-06,3.1249946914613247e-06,1.2458114818768273,0,0
2,1780730395.09425,1780730396.64775,1.5534999370574951,10,5,5,2.5252054911106823e-06,3.1669915188103914e-06,1.2541520006822997,8,0
3,1780730396.655232,1780730398.223802,1.5685701370239258,10,5,5,2.0166044123470783e-06,2.333021257072687e-06,1.1569057584066964,6,0
4,1780730398.231661,1780730399.806626,1.574965000152588,10,5,5,2.133002271875739e-06,2.375018084421754e-06,1.1134625198186914,6,0
5,1780730399.812673,1780730401.3918169,1.579143762588501,10,5,5,3.12480260618031e-06,4.917004844173789e-06,1.5735409444580013,5,0
6,1780730401.3992152,1780730402.9675388,1.5683236122131348,10,5,5,1.9665982108563186e-06,2.249988028779626e-06,1.1441015334799427,5,0
7,1780730402.975483,1780730404.542489,1.5670061111450195,10,5,5,1.9752013031393288e-06,2.249988028779626e-06,1.1391183395857216,5,0
8,1780730404.550006,1780730406.120054,1.5700480937957764,10,5,5,3.9584003388881685e-06,6.417016265913844e-06,1.6211135096346139,5,0
9,1780730406.1270888,1780730407.676342,1.549253225326538,10,5,5,2.0418025087565184e-06,2.2920139599591494e-06,1.1225443940486746,5,0
10,1780730407.6845372,1780730409.273319,1.5887818336486816,10,5,5,3.199803177267313e-06,3.583001671358943e-06,1.1197568953034442,5,0
11,1780730409.281002,1780730410.856246,1.5752439498901367,10,5,5,1.9754108507186176e-06,2.334010787308216e-06,1.1815318248652662,5,0
12,1780730410.8644428,1780730412.430806,1.5663630962371826,10,5,5,1.983612310141325e-06,2.4580222088843584e-06,1.2391646272397017,5,0
13,1780730412.4385412,1780730414.006932,1.5683908462524414,10,5,5,2.0664127077907322e-06,2.333021257072687e-06,1.129019991155104,5,0
14,1780730414.014912,1780730415.5633888,1.5484769344329834,10,5,5,1.7666141502559185e-06,1.9580184016376734e-06,1.108345249784186,5,0
15,1780730415.5714061,1780730417.1379762,1.5665700435638428,10,5,5,2.4498091079294682e-06,3.209017449989915e-06,1.309905102239625,5,0
16,1780730417.1457238,1780730418.726951,1.5812270641326904,10,5,5,1.958198845386505e-06,2.1249870769679546e-06,1.0851743079996197,5,0
17,1780730418.734294,1780730420.292774,1.5584800243377686,10,5,5,1.925195101648569e-06,2.2920139599591494e-06,1.1905359399660163,5,0
18,1780730420.300844,1780730421.850841,1.549997091293335,10,5,5,1.8747930880635977e-06,2.207991201430559e-06,1.1777252729852492,5,0
19,1780730421.858436,1780730423.445025,1.5865888595581055,10,5,5,2.616591518744826e-06,2.749991836026311e-06,1.0509824771370797,5,0
